Americanize Americanized Americanizing Americanizes
tackle tackled tackling tackles
tag tagged tagging tags
tail tailed tailing tails
tailgate tailgated tailgating tailgates
tailor tailored tailoring tailors
taint tainted tainting taints
take took taken taking
talk talked talking talks
tallow tallowed tallowing tallows
tally tallied tallying tallies
tallyho tallyhoed tallyhoing tallyhos
tame tamed taming tames
tamp tamped tamping tamps
tamper tampered tampering tampers
tampon tamponed tamponing tampons
tan tanned tanning tans
tang tanged tanging tangs
tangle tangled tangling tangles
tango tangoed tangoing tangos
tank tanked tanking tanks
tantalise tantalised tantalising tantalises
tantalize tantalized tantalizing tantalizes
tapdance tapdanced tapdancing tapdances
tape taped taping tapes
taper tapered tapering tapers
tapestry tapestried tapestrying tapestries
tare tared taring tares
target targeted targeting targets
tariff tariffed tariffing tariffs
tarmac tarmacked tarmacking tarmacs
tarnish tarnished tarnishing tarnishes
tarry tarried tarrying tarries
task tasked tasking tasks
taste tasted tasting tastes
tat tatted tatting tats
tatter tattered tattering tatters
tattle tattled tattling tattles
tattoo tattooed tattooing tattoos
taunt taunted taunting taunts
tauten tautened tautening tautens
tax taxed taxing taxes
teach taught teaching teaches
team teamed teaming teams
tear teared tore |
teargas teargassed teargassing teargases,
tease teased teasing teases
tee teed teeing tees
teem teemed teeming teems
teeter teetered teetering teeters
teethe teethed teething teethes
telecommunicate telecommunicated telecommunicating telecommunicates
telecommute telecommuted telecommuting telecommutes
teleconference teleconferenced teleconferencing teleconferences
telefax telefaxed telefaxing telefaxes
telegram telegrammed telegramming telegrams
telegraph telegraphed telegraphing telegraphs
telemeter telemetered telemetering telemeters
telepathize telepathized telepathizing telepathizes
telephone telephoned telephoning telephones
telescope telescoped telescoping telescopes
televise televised televising televises
telex telexed telexing telexes
tell told telling tells
temp temped temping temps
temper tempered tempering tempers
tempest tempested tempesting tempests
temporize temporized temporizing temporizes
tempt tempted tempting tempts
tenant tenanted tenanting tenants
tend tended tending tends
tender tendered tendering tenders
tenderize tenderized tenderizing tenderizes
tenon tenoned tenoning tenons
tense tensed tensing tenses
tension tensioned tensioning tensions
tent tented tenting tents
tenure tenured tenuring tenures
tergiversate tergiversated tergiversating tergiversates
term termed terming terms
terminate terminated terminating terminates
terrace terraced terracing terraces
terrify terrified terrifying terrifies
terrorize terrorized terrorizing terrorizes
tessellate tessellated tessellating tessellates
test tested testing tests
testify testified testifying testifies
tether tethered tethering tethers
texture textured texturing textures
thank thanked thanking thanks
thatch thatched thatching thatches
thaw thawed thawing thaws
theme themed theming themes
theorise theorised theorising theorises
theorize theorized theorizing theorizes
thicken thickened thickening thickens
thieve thieved thieving thieves
thin thinned thinning thins
think thought thinking thinks
thirst thirsted thirsting thirsts
thole tholed tholing tholes
thorn thorned thorning thorns
thou thoued thouing thous
thrall thralled thralling thralls
thrash thrashed thrashing thrashes
thread threaded threading threads
threat threated threating threats
threaten threatened threatening threatens
thresh threshed threshing threshes
thrill thrilled thrilling thrills
throat throated throating throats
throb throbbed throbbing throbs
thrombose thrombosed thrombosing thromboses
throne throned throning thrones
throng thronged thronging throngs
throttle throttled throttling throttles
throw threw thrown throwing
thrum thrummed thrumming thrums
thrust thrust, 2 thrusting
thud thudded thudding thuds
thumb thumbed thumbing thumbs
thumbtack thumbtacked thumbtacking thumbtacks
thump thumped thumping thumps
thunder thundered thundering thunders
thurify thurified thurifying thurifies
thwack thwacked thwacking thwacks
thwart thwarted thwarting thwarts
tick ticked ticking ticks
ticket ticketed ticketing tickets
tickle tickled tickling tickles
ticktack ticktacked ticktacking ticktacks
ticktock ticktocked ticktocking ticktocks
tide tided tiding tides
tidy tidied tidying tidies
tier tiered tiering tiers
tiff tiffed tiffing tiffs
tighten tightened tightening tightens
tightrope tightroped tightroping tightropes
tile tiled tiling tiles
till tilled tilling tills
tiller tillered tillering tillers
tilt tilted tilting tilts
timber timbered timbering timbers
time timed timing times
tinct tincted tincting tincts
tincture tinctured tincturing tinctures
ting tinged tinging tings
tingle tingled tingling tingles
tink tinked tinking tinks
tinker tinkered tinkering tinkers
tinkle tinkled tinkling tinkles
tint tinted tinting tints
tintinnabulate tintinnabulated tintinnabulating tintinnabulates
tip tipped tipping tips
tipple tippled tippling tipples
tippytoe tippytoed tippytoeing tippytoes
tiptoe tiptoed tiptoeing tiptoes
tire tired tiring tires
tissue tissued tissuing tissues
tithe tithed tithing tithes
titillate titillated titillating titillates
titivate titivated titivating titivates
title titled titling titles
titrate titrated titrating titrates
titter tittered tittering titters
tittivate tittivated tittivating tittivates
toady toadied toadying toadies
toast toasted toasting toasts
toboggan tobogganed tobogganing toboggans
toddle toddled toddling toddles
toe toed toeing toes
toenail toenailed toenailing toenails
toggle toggled toggling toggles
toil toiled toiling toils,
toilet toileted toileting toilets
toke toked toking tokes
token tokened tokening tokens
tole toled toling toles
tolerate tolerated tolerating tolerates
toll tolled tolling tolls
tom tommed tomming toms
tomahawk tomahawked tomahawking tomahawks
tomb tombed tombing tombs
tomcat tomcatted tomcatting tomcats
tone toned toning tones
tong tonged tonging tongs
tongue tongued tonguing tongues
tonsure tonsured tonsuring tonsures
tool tooled tooling tools
toot tooted tooting toots
tooth toothed toothing tooths
tootle tootled tootling tootles
tope toped toping topes
topple toppled toppling topples
topsoil topsoiled topsoiling topsoils
torch torched torching torches
torment tormented tormenting torments
torpedo torpedoed torpedoing torpedoes,
torque torqued torquing torques
torture tortured torturing tortures
tote toted toting totes
totter tottered tottering totters
touch touched touching touches
toughen toughened toughening toughens
tour toured touring tours
tourney tourneyed tourneying tourneys
tousle tousled tousling tousles
tout touted touting touts
tow towed towing tows
tower towered towering towers
toy toyed toying toys
trace traced tracing traces
track tracked tracking tracks
trade traded trading trades
trademark trademarked trademarking trademarks
traduce traduced traducing traduces
traffic trafficked trafficking traffics
trail trailed trailing trails
train trained training trains
traipse traipsed traipsing traipses
tram trammed tramming trams
tramp tramped tramping tramps
trample trampled trampling tramples
trance tranced trancing trances
tranquilize tranquilized tranquilizing tranquilizes
tranquillize tranquillized tranquillizing tranquillizes
transact transacted transacting transacts
transcend transcended transcending transcends
transcribe transcribed transcribing transcribes
transduce transduced transducing transduces
transect transected transecting transects
transfer transferred transferring transfers
transfigure transfigured transfiguring transfigures
transform transformed transforming transforms
transfuse transfused transfusing transfuses
transgress transgressed transgressing transgresses
transistorize transistorized transistorizing transistorizes
transition transitioned transitioning transitions
translate translated translating translates
transliterate transliterated transliterating transliterates
transmigrate transmigrated transmigrating transmigrates
transmit transmitted transmitting transmits
transmogrify transmogrified transmogrifying transmogrifies
transmute transmuted transmuting transmutes
transpire transpired transpiring transpires
transplant transplanted transplanting transplants
transport transported transporting transports
transpose transposed transposing transposes
transship transshipped transshipping transships
transude transuded transuding transudes
trap trapped trapping traps
trash trashed trashing trashes
traumatize traumatized traumatizing traumatizes
travail travailed travailing travails
traverse traversed traversing traverses
travesty travestied travestying travesties
trawl trawled trawling trawls
treadle treadled treadling treadles
treasure treasured treasuring treasures
treat treated treating treats
treble trebled trebling trebles
treck trecked trecking trecks
tree treed treeing trees
trek trekked trekking treks
trellis trellised trellising trellises
tremble trembled trembling trembles
trench trenched trenching trenches
trend trended trending trends
trepan trepanned trepanning trepans
trephine trephined trephining trephines
trespass trespassed trespassing trespasses
tress tressed tressing tresses
triage triaged triaging triages
trial trialled trialling trials
triangulate triangulated triangulating triangulates
trice triced tricing trices
trick tricked tricking tricks
trickle trickled trickling trickles
trifle trifled trifling trifles
trig trigged trigging trigs
trigger triggered triggering triggers
trill trilled trilling trills
trim trimmed trimming trims
trinket trinketed trinketing trinkets
trip tripped tripping trips
triple tripled tripling triples
triplicate triplicated triplicating triplicates
trisect trisected trisecting trisects
